,No.,Names,Party Name,	Constituency (State),profile Links
138,139,"Gopal Jee Thakur, Shri ",Bharatiya Janata Party,Darbhanga (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5176
139,140,"Goswami, Shri Dulal Chandra",Janata Dal (United),Katihar (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5215
140,141,"Gowda, Shri Devaragunda Venkappa Sadananda",Bharatiya Janata Party,Bangalore North (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3979
141,142,"Gupta, ShriSangamlal Kadedin",Bharatiya Janata Party,Pratapgarh (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5158
142,143,"Gupta, Shri Sudheer",Bharatiya Janata Party,Mandsour (Madhya Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4615
143,144,"Gurjar, Shri Krishan Pal",Bharatiya Janata Party,Faridabad (Haryana),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4629
144,145,"Gurumoorthy, Shri Maddila",Yuvajana Sramika Rythu Congress Party,Tirupati (SC)(Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5534
145,146,"Hans, Shri Hans Raj",Bharatiya Janata Party,North West Delhi (SC)(NCT of Delhi),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5033
146,147,"Hansdak, Shri Vijay Kumar",Jharkhand Mukti Morcha,Rajmahal (ST)(Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4866
147,148,"Haridas, Ms. Ramya ",Indian National Congress,Alathur (SC)(Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5122
148,149,"Harsh Vardhan , Dr. ",Bharatiya Janata Party,Chandni Chowk (NCT of Delhi),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4776
149,150,"Hasan, Dr.S.T.",Samajwadi Party,Moradabad (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5155
150,151,"Hegde, Shri Anantkumar ",Bharatiya Janata Party,Uttara Kannada (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3688
151,152,"Hema Malini, Smt. ",Bharatiya Janata Party,Mathura (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4619
152,153,"Hembram, ShriKunar",Bharatiya Janata Party,Jhargram (ST)(West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5047
153,154,"Irani, Smt.Smriti Zubin",Bharatiya Janata Party,Amethi (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5133
154,155,"Jadhav, Shri Prataprao ",Shiv Sena,Buldhana (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4373
155,156,"Jadhav, Shri Sanjay Haribhau",Shiv Sena,Parbhani (Maharashtra),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4735
156,157,"Jadhav, Dr. Umesh G.",Bharatiya Janata Party,Gulbarga (SC)(Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5178
157,158,"Jagathrakshakan, Shri S.",Dravida Munnetra Kazhagam,Arakkonam (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=157
158,159,"Jai Prakash, Shri ",Bharatiya Janata Party,Hardoi (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=159
159,160,"Jaiswal, Dr. Sanjay",Bharatiya Janata Party,Paschim Champaran (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4455
160,161,"Jardosh, Smt. Darshana Vikram",Bharatiya Janata Party,Surat (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4451
161,162,"Jatua, Shri Choudhury Mohan",All India Trinamool Congress,Mathurapur (SC)(West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4492
162,163,"Jaunapuria, Shri Sukhbir Singh",Bharatiya Janata Party,Tonk-Sawai Madhopur (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4669
163,164,"Jawed, Dr. Mohammad",Indian National Congress,Kishanganj (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5216
164,165,"Jayakumar, Dr. K.",Indian National Congress,Tiruvallur (SC)(Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4957
165,166,"Jigajinagi, Shri Ramesh Chandappa",Bharatiya Janata Party,Bijapur (SC)(Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=170
166,167,"Jolle, Shri Annasaheb Shankar",Bharatiya Janata Party,Chikkodi (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5174
167,168,"Joshi,Prof.Rita Bahuguna",Bharatiya Janata Party,Allahabad (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5131
168,169,"Joshi, Shri Chandra Prakash",Bharatiya Janata Party,Chittorgarh (Rajasthan),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4671
169,170,"Joshi, Shri Pralhad Venkatesh",Bharatiya Janata Party,Dharwad (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=3982
170,171,"Jothi Mani, Ms. S.",Indian National Congress,Karur (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4981
171,172,"Jyoti, Sadhvi Niranjan",Bharatiya Janata Party,Fatehpur (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4622
172,173,"K. Navas, ShriKani",Indian Union Muslim League,Ramanathapuram (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4962
173,174,"Kachhadiya, Shri Naranbhai Bhikhabhai",Bharatiya Janata Party,Amreli (Gujarat),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4448
174,175,"Kaiser, Choudhary Mehboob Ali",Lok Jan Shakti Party,Khagaria (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4612
175,176,"Kalanidhi, Dr. Veeraswamy",Dravida Munnetra Kazhagam,Chennai North (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4959
176,177,"Kamait, Shri Dileshwar",Janata Dal (United),Supaul (Bihar),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5222
177,178,"Kanumuru, Shri Raghu Ramakrishna Raju",Yuvajana Sramika Rythu Congress Party,Narsapuram (Andhra Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5097
178,179,"Kapoor, Shri Kishan",Bharatiya Janata Party,Kangra (Himachal Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5112
179,180,"Karadi, Shri Sanganna Amarappa",Bharatiya Janata Party,Koppal (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4744
